# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.056029915809631348e-01 3.562330901622772217e-01 1.305979728698730469e+00
1.000000000000000000e+03 6.709053996019065380e-04 5.828057182952761650e-04 5.282398685812950134e-02
2.000000000000000000e+03 1.909216953208670020e-04 2.003927220357581973e-04 3.097492083907127380e-02
3.000000000000000000e+03 2.993115595018025488e-05 5.643369513563811779e-05 1.643760502338409424e-02
4.000000000000000000e+03 5.501643045136006549e-06 2.934672193077858537e-05 1.185356732457876205e-02
5.000000000000000000e+03 6.901125289004994556e-07 2.057261372101493180e-05 9.924622252583503723e-03
6.000000000000000000e+03 2.054669039353029802e-06 2.026928814302664250e-05 9.851185604929924011e-03
7.000000000000000000e+03 5.651658057104214095e-07 1.865572812675964087e-05 9.450947865843772888e-03
8.000000000000000000e+03 2.556592733071738621e-07 1.760969826136715710e-05 9.182167239487171173e-03
9.000000000000000000e+03 1.977641375106031774e-07 1.708114541543181986e-05 9.043318219482898712e-03
1.000000000000000000e+04 2.181091304009896703e-06 2.025936737481970340e-05 9.848774410784244537e-03
